product_title,product_details,product_color,product_url,image_url,image_path
Leggings,"14% elastane, 86% polyester, Solid, black, skinny leg cut, mid rise waist",,https://www.thredup.com/product/women-elastane-victorias-secret-pink-black-leggings/151173143?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/524291005/retina.jpg,thredup_images\30f5a60d-0661-44e2-95d8-ebb73748e77f.jpg
Leggings,"77% polyamide, 23% elastane, Solid, black, skinny leg cut, mid rise waist",,https://www.thredup.com/product/women-polyamide-victorias-secret-pink-black-leggings/150990233?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/523677803/retina.jpg,thredup_images\6c44d1d9-1f78-4311-a0ab-65d2eb7a32ca.jpg
Jeans,"43% viscose, 27% cotton, 14% modal, 14% polyester, 2% elastane, Blue, low rise waist",,https://www.thredup.com/product/women-viscose-hudson-jeans-blue-jeans/149353788?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/516679484/retina.jpg,thredup_images\6c44c3df-a58d-40f1-800c-a1b3ca236cb5.jpg
Casual Dress,"90% nylon, 10% spandex, Black",,https://www.thredup.com/product/women-nylon-mudd-black-casual-dress/149179425?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/515273226/retina.jpg,thredup_images\c7737ed6-162c-4d05-8d71-aa6d95e05054.jpg
Casual Dress,"100% polyester, Short sleeve, v-neck, formal, cut outs, multi color, black, boho",,https://www.thredup.com/product/women-polyester-aqua-multi-color-casual-dress/148810671?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/513518073/retina.jpg,thredup_images\ec05dceb-e8af-4338-925b-5ed618d024a2.jpg
Casual Dress,"90% nylon, 10% spandex, Sleeveless, square, ruched detail, multi color, green, work, knee length",,https://www.thredup.com/product/women-nylon-max-studio-multi-color-casual-dress/148596568?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/512815828/retina.jpg,thredup_images\94ab7ad2-f991-4e50-afa4-04d944265f24.jpg
Active Pants,"Material unknown, Black, blue, skinny leg cut, high rise waist",,https://www.thredup.com/product/women-adidas-black-active-pants/148583099?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/512743685/retina.jpg,thredup_images\416339c8-9dc2-4137-8a53-3a87c1cd366a.jpg
Romper,"Material unknown, Long sleeve, cold shoulder, mini silhouette, paisley print, bow & tie, drawstring, multi color, orange, boho, printed denim, short",,https://www.thredup.com/product/women-free-people-multi-color-romper/148486743?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/512149181/retina.jpg,thredup_images\3febe312-3c57-40a7-8e99-8dc2cfa78b41.jpg
Dress Pants,"100% polyester, Polka dot print, black, straight leg cut, mid rise waist",,https://www.thredup.com/product/women-polyester-wilfred-black-dress-pants/148410230?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/511771860/retina.jpg,thredup_images\081305dd-1b5d-44e7-836e-313889525466.jpg
Jeans,,,https://www.thredup.com/product/women-madewell-blue-jeans/148061841?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/510210537/retina.jpg,thredup_images\b0f5fc49-81fb-40f9-91a9-352b2a2919af.jpg
